StreetNumber,StreetName,Name,BusinessType,Notes
41,Bank,Taggart C B & Son real estate,Real estate,
43,Bank,Vacant,,
45,Bank,"Binks Charles, photo",Photo,
45.5,Bank,"Taggart J E, dentist",Dentist,
47,Bank,"Poithier Jean, barber",Barber,
47,Bank,"Hotel, s e ",hotel,
47,Bank,Sun Life Building,,
69,Bank,"Hurly Bros (br), gents' furngs",gents' furngs,
69,Bank,Dominion Trading Stamp Company,,
69,Bank,"Baird, D H",,
73,Bank,"Whillans W H, bicycles",bicycles,
73,Bank,"Burns T H, stoves",stoves,
75,Bank,Vacant,,
77,Bank,"Caldwell John Y, real est",real estate,
77,Bank,"Groulx F, tobacconist",tobacconist,
79,Bank,Vacant,,
81,Bank,"Keith A & W S, pictures",pictures,
83,Bank,"Lapointe D T, barber",barber,
85,Bank,Creamery Biscuit Works,,
85,Bank,Private grounds,,
99,Bank,"Gould & Harley, tirs",tirs,
101,Bank,Pease J F Furnace Co,,
103,Bank,"Jarman Frank, picture framer",picture framer ,
105,Bank,"Living Henry, hardware",hardware,
109,Bank,"Rogers Francis, confr",,
109,Bank,"White Miss Julia, drsmkr",dressmaker,
111,Bank,"Marriott E, real est",real estate,
111,Bank,Hackett Armstrong,,
111.5,Bank,"O'Neill Gordon, barber",barber,
113,Bank,"Rupert Charles, btchr",butcher,
115,Bank,"McFarlane Bros, iron foundry",iron foundry,
129,Bank,Kimpton & Co. btchrs,btchr,
131,Bank,Brown Miss Harriet; Dunn Miss E. drsmkr,drsmkr,
131.5,Bank,"Letch Mrs Rose, minr",minr,
133,Bank,"Gemmell W B, gents' frng",gents' frng,
135,Bank,Vacant,,
137,Bank,"McLeod N D, gro",gro,
139,Bank,"McCracken Bros, tlrs",tlrs,
147,Bank,"McElroy L & F H, minrs",minrs,
149,Bank,"Wiliams R S & Sons Co, pianos",pianos,
131,Bank,"Wooding W H, fruit",fruit,
153,Bank,"MacColl Hugh, brass gds",brass gds,
155,Bank,"Blomfield Frank, barber",barber,
157,Bank,"Jarvis Alfred H, staty",,
12,Bank,"Cunningham Mrs M, Cunningham Geo de H",,
22,Bank,Taylor Arthur G,,
24,Bank,Cardow Thomas,,
42,Bank,Thicke Wm H. engr.,,
44,Bank,Vacant,,
46,Bank,Slack W F. pictures,Pictures,
48,Bank,Vacant,,
50,Bank,"O'Nell & Leduc, rest",Rest,
52,Bank,"Grant Bros, hardware",hardware,
54,Bank,"Greene W R, dentist",dentist,
56,Bank,"Grant Bros, hardware",hardware,
64,Bank,"Wing On, lndry",lndry,
66,Bank,York County Loan and Savings Co,Loan and Savings Co,
68,Bank,"McKee & Co, mill supplies",,
70,Bank,Redlich J. Hat mnfr,mnfr,
72,Bank,"Cameron Mrs Annie, rest",rest,
74,Bank,Vacant,,
76,Bank,"Owen Samuel, tlr",tlr,
78,Bank,"Fogarty Bros, plmbrs",plmbrs,
80,Bank,Lafreniere James,,
82,Bank,"Henry W J, taxidermist",taxidermist,
84,Bank,"Douras Miss Kate, bdg",,
88,Bank,"Weekes W J, taxidermist",taxidermist,
90,Bank,Driscoll Timothy,,
100,Bank,"Muir Wm, hair dresser",Hair dresser,
102,Bank,Bank Street Chambers,,
102,Bank,"Munsie Miss M, drsmkr",Drsmkr,
102,Bank,"Horwood E L, architect",Architect,
102,Bank,"McElhinney M G, dentist",Dentist,
102,Bank,"McElhinney Aubrey, dentist",Dentist,
102,Bank,Federal Business College,,
102,Bank,"Munn & Co, assignees",Assignees,
102,Bank,"Connor M F, analyst",Analyst,
104,Bank,"Ketchum & Co, bicycles",Bicycles,
106,Bank,"Woodland Miss H, mlnr",Mlnr,
106.5,Bank,"Boyd & Morton, bicycles",Bicycles,
108,Bank,"Palmer R, gro",Gro,
110,Bank,Vacant,,
112,Bank,"Bance E D & Co, cigars",Cigars,
114,Bank,"Wing Chung, laundry",Laundry,
116,Bank,"Palmer R H, gro",Gro,
116,Bank,"Shepherd H R, pntr",Pntr,
118,Bank,"MacMillan James A, jwlr",Jwlr,